##name	Finance, Economy, Law and Business
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2005/08/13, 09:30
##author	Yael Sela-Shapiro
##description	This glossary holds financial, economic and legal terms. All terms are verified. \nPlease note that some terms may have more than one translation.
##browsingEnabled	
##bgl_creationTime	2004/02/25, 07:52
8EAF66FD.bmp	File: 8EAF66FD.bmp
default risk	סיכון אי-קיום (למשל סיכון שמנפיקיה של אגרת חוב לא יוכלו לשלם את הריבית או הקרן שלה במועד פרעונה)
deferred credit	זיכוי נדחה
deferred tax	מס נדחה
deficiency	ליקוי
defined benefit	פנסיה מוגדרת על פי גימלה<BR>קצבה מוגדרת מראש (בפנסיה צוברת)
defined contribution	הפרשה מוגדרת מראש (בפנסיה צוברת)
definite terms	מסוימוּת (בחוזה)
demand deposit|Demand deposits	פקדון לפי דרישה (שהמפקיד יכול לתבוע בכל זמן)
demurrage	היטל עיכוב / צפיפות
denominated	(ערכו של דבר) נקוב (ב-)
depreciated cost	עלות מופחתת
depreciation expense|depreciation expenses	הוצאה לפחת
design	תיכוּן
design review	סקר תכן (בניהול איכות)
diminishing balance	(שיטת) היתרה הפוחתת
direct labor|direct labour	עבודה ישירה
discount rate	שיעור ניכיון
discovery sampling	דגימת גילוי
discriminatory benefit	הטבה מפלה
disposed	נגרע
dissent	דעת מיעוט (של שופטים)
diversified company	חברה מגוּונת
dividend in arrears|in arrears	דיבידנד בפיגור
dividend payout ratio|dividend-payout	יחס דיבידנד משולם
division	חטיבה
domestic capital formation	השקעה מקומית
downtime	בטלה של אמצעי יצור
dumping	מחיר היצף
durable goods order|durable goods orders	הזמנות מוצרים בני קיימא
duties	תחומי פעילות
earmarked donation	תרומה ממוקדת / מיועדת
echo check	בידוק הד
economic Order Quantity|EOQ	מודל ההזמנה הכלכלית
effect	תוצאה
effective interest amortization|effective interest	הפחתה לפי ריבית אפקטיבית
electronic data interchange|EDI	<B>העברת נְתוּנִים אֵלֶקְטְרוֹנִית</B><BR>
elements	איתני הטבע
engagement	הִתקשרוּת (הסכם לביצוע ביקורת)
entry	רישום
equity method	שיטת *מיזוג בשורה אחת*<BR>שיטת שווי מאזני
error rate	שיעור טעויות
estoppel	הֶשתֵק (במשפטים)
eurobond|eurobonds	יוּרוֹבּוֹנד
exception	חריג
excess of imports over exports	עודף היבוא על היצוא
exercise	מימוש / לממש (נייר ערך, אופציה)
