##name	Country Phone Codes
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/01/20, 11:57
##author	Nivi Naor
##description	Just about every international phone code you can think of.
##browsingEnabled	
##bgl_creationTime	2001/01/17, 15:12
8EAF66FD.bmp	File: 8EAF66FD.bmp
673	Brunei Darussalam
674	Nauru
675	Papua New Guinea
676	Tonga Is.
677	Solomon Is.
678	Vanuatu (New Hebrides)
679	Fiji Islands (Suva)
681	Wallis & Futuna Is.
684	Samoa American
685	Samoa Western
686	Kiribati Rep.
687	New Caledonia
688	Tuvalu (Ellice Is.)
689	Tahiti (Fr. Polynesia)
691	Micronesia
692	Marshall Is.
7	Latvia
81	Ryukyu Is. (Okinawa)
82	Korea Rep. of (South)
84	Vietnam
85	Kampuchea (Cambodia)
852	Hong Kong
853	Macao (Macau)
855	Cambodia (Kampuchea)
856	Laos Peoples Dem. Rep. of
86	China Peoples Rep.
871	Inmarsat Atlantic Ocean
872	Pacific Ocean Inmarsat
873	Inmarsat Indian Ocean
880	Bangladesh
886	Taiwan (Rep. of China)
90	Turkey
91	India
92	Pakistan
93	Afganistan
94	Ceylon (Sri Lanka)
95	Burma
960	Maldives
961	Lebanon
962	Jordan
963	Syrian Arab Rep.
964	Iraq
965	Kuwait
966	Saudi Arabia
967	Yemen Dem. Rep. (Formerly S.)
968	Oman
969	Yemen Arab Rep. (Formerly N.)
971	Sharjah (UAE)
9716	Umm Al Quwain (UAE)
9717	Ras Al Khaimah (UAE)
9719	Fujaira (UAE)
972	Israel
973	Bahrain
974	Qatar
976	Mongolian Peoples Rep.
977	Nepal
98	Iran
994	Azerbaijan
Afganistan	93
Ajman (UAE)|Ajman	971
Alaska (USA)|Alaska	1907
Albania	355
Algeria	213
America On Line Clients	1
American Samoa	684
Andorra	376
Angola	244
Anguilla (BWI)|Anguilla	1264
Antigua & Barbuda (BWI)|Antigua & Barbuda	1268
Argentina	54
Armenia	374
Aruba (Neth. Antilles)|Aruba	297
Ascension Is.	247
Atlantic Ocean Inmarsat	871
Australia	61
Austria	43
Azerbaijan	994
Azores (Portugal)|Azores	351
Bahamas	1242
Bahrain	973
Bangladesh	880
Barbados (BWI)|Barbados	1809
Belgium	32
Belize (Br. Honduras)|Belize	501
Benin (Dahomey)|Benin	229
Bermuda	18092
Bolivia	591
Bonaire (Neth. Antilles)|Bonaire	599
Botswana	267
Brazil	55
Brazzaville (Congo/Zaire)|Brazzaville	243
British Virgin Islands	180949
Brunei Darussalam	673
Bulgaria	359
Burkina Faso	226
Burma	95
Burundi	257
C.I.S. (Former U.S.S.R.)|C.I.S.	7
Cambodia (Kampuchea)|Cambodia	855
Cameroon	237
Canada - Alberta	1403
Canada - Br. Columbia	1604
Canada - Manitoba	1204
Canada - New Brunswick	1506
Canada - Newfoundland	1709
Canada - Nova Scotia/PE. Is.	1902
Canada - Ontario	1807
Canada - Quebec	1819
Canada - Saskatchewan	1308
Canal Zone (Panama)|Canal Zone	507
Cape Verde Islands	2
Carriacou Islands (BWI)|Carriacou Islands	1809
Cayman Islands (BWI)|Cayman Islands	180994
Central African Rep.	236
Ceylon (Sri Lanka)|Ceylon	94
Chad	235
Chile	56
China Peoples Rep.	86
China Rep of (Taiwan)|China Rep of	886
Columbia	57
Comoros F & I Rep.	26
Compuserve Clients	1
Congo Rep. of (Zaire)|Congo Rep. of	243
Costa Rica	506
Cuba	59
Cyprus	357
Czechoslovakia	42
Denmark	45
Djibouti Rep.	253
Dominica (BWI)|Dominica	1809
